"Brasil, Unidade da Federação e Município",,cód ibge 6,Total 2010,Alfabetizadas 2010,Não alfabetizadas 2010,% não alfab,Total 2022,Alfabetizadas 2022,Não alfabetizadas,% não alfab 2022,Queda 2022 x 2010,
Guararapes/SP,SP,351820,24612,22949,1663,"6,76%",25666,24439,1227,"4,78%","29,25%",
Itatiba do Sul/RS,RS,431070,3335,2960,375,"11,24%",2743,2612,131,"4,78%","57,53%",
Igarapé/MG,MG,313010,26025,24125,1900,"7,30%",36127,34397,1730,"4,79%","34,41%",
Guapimirim/RJ,RJ,330185,38752,35841,2911,"7,51%",41347,39366,1981,"4,79%","36,22%",46
Guararema/SP,SP,351830,19841,18419,1422,"7,17%",25288,24077,1211,"4,79%","33,18%",
Manduri/SP,SP,352860,7071,6662,409,"5,78%",8097,7709,388,"4,79%","17,16%",
Cachoeira do Sul/RS,RS,430300,66977,61958,5019,"7,49%",66425,63245,3180,"4,79%","36,11%",
Goianira/GO,GO,520880,25014,22939,2075,"8,30%",54722,52101,2621,"4,79%","42,26%",
Paulista/PE,PE,261070,232829,218451,14378,"6,18%",276665,263387,13278,"4,80%","22,28%",
Monte Azul Paulista/SP,SP,353150,15196,13971,1225,"8,06%",15258,14525,733,"4,80%","40,41%",
Governador Celso Ramos/SC,SC,420600,10395,9589,806,"7,75%",14054,13379,675,"4,80%","38,06%",
Camaquã/RS,RS,430350,49237,45689,3548,"7,21%",51226,48765,2461,"4,80%","33,33%",
Rio do Campo/SC,SC,421450,4749,4475,274,"5,77%",5207,4956,251,"4,82%","16,45%",
Cafelândia/PR,PR,410345,11221,10724,497,"4,43%",15019,14294,725,"4,83%","-8,99%",
Missal/PR,PR,411605,8336,7869,467,"5,60%",9076,8638,438,"4,83%","13,86%",
Gentil/RS,RS,430885,1371,1267,104,"7,59%",1407,1339,68,"4,83%","36,29%",
São José de Ribamar/MA,MA,211120,118144,110223,7921,"6,70%",189488,180314,9174,"4,84%","27,79%",
Fortuna de Minas/MG,MG,312640,2064,1889,175,"8,48%",2564,2440,124,"4,84%","42,96%",
Leopoldina/MG,MG,313840,40555,37681,2874,"7,09%",42120,40080,2040,"4,84%","31,66%",
Pitangui/MG,MG,315140,19360,18174,1186,"6,13%",21777,20722,1055,"4,84%","20,92%",
Ribeirão das Neves/MG,MG,315460,219661,205797,13864,"6,31%",262576,249865,12711,"4,84%","23,30%",
Cajuru/SP,SP,350940,17965,16892,1073,"5,97%",19293,18359,934,"4,84%","18,95%",
Presidente Epitácio/SP,SP,354130,32080,29900,2180,"6,80%",32444,30874,1570,"4,84%","28,79%",
Jacutinga/RS,RS,431090,3034,2845,189,"6,23%",2853,2715,138,"4,84%","22,35%",
Rodeiro/MG,MG,315630,5340,4905,435,"8,15%",6913,6578,335,"4,85%","40,51%",
Vargem Bonita/MG,MG,317060,1727,1588,139,"8,05%",1773,1687,86,"4,85%","39,73%",
Itápolis/SP,SP,352270,32422,30144,2278,"7,03%",32905,31309,1596,"4,85%","30,97%",
Mandaguaçu/PR,PR,411410,15419,14057,1362,"8,83%",24842,23637,1205,"4,85%","45,09%",
Rolândia/PR,PR,412240,45613,42799,2814,"6,17%",57244,54469,2775,"4,85%","21,42%",
São João/PR,PR,412480,8354,7717,637,"7,63%",9647,9179,468,"4,85%","36,38%",
Maximiliano de Almeida/RS,RS,431220,3918,3573,345,"8,81%",3570,3397,173,"4,85%","44,97%",
Muriaé/MG,MG,314390,79955,73865,6090,"7,62%",85991,81812,4179,"4,86%","36,20%",
Céu Azul/PR,PR,410530,8654,8117,537,"6,21%",9092,8650,442,"4,86%","21,66%",
Espumoso/RS,RS,430750,12212,11307,905,"7,41%",12617,12004,613,"4,86%","34,44%",
Nova Alvorada/RS,RS,431275,2533,2335,198,"7,82%",2633,2505,128,"4,86%","37,81%",
Dourado/SP,SP,351430,6998,6455,543,"7,76%",6864,6530,334,"4,87%","37,29%",
Astorga/PR,PR,410210,19753,18161,1592,"8,06%",20774,19763,1011,"4,87%","39,62%",
Ipiranga/PR,PR,411050,10329,9542,787,"7,62%",11134,10592,542,"4,87%","36,11%",
Coqueiro Baixo/RS,RS,430583,1318,1225,93,"7,06%",1150,1094,56,"4,87%","30,99%",
Erebango/RS,RS,430697,2303,2145,158,"6,86%",2442,2323,119,"4,87%","28,97%",
Seberi/RS,RS,432020,8585,7898,687,"8,00%",9722,9249,473,"4,87%","39,20%",
Morrinhos/GO,GO,521380,32624,29999,2625,"8,05%",41778,39745,2033,"4,87%","39,52%",
São Gonçalo do Pará/MG,MG,316180,8078,7546,532,"6,59%",9597,9129,468,"4,88%","25,95%",
Iepê/SP,SP,351990,6023,5525,498,"8,27%",6274,5968,306,"4,88%","41,01%",
Santa Ernestina/SP,SP,354650,4313,4007,306,"7,09%",4981,4738,243,"4,88%","31,24%",
Boa Esperança/MG,MG,310710,29632,27354,2278,"7,69%",32404,30818,1586,"4,89%","36,33%",
Vanini/RS,RS,432255,1654,1548,106,"6,41%",1719,1635,84,"4,89%","23,75%",
Macapá/AP,AP,160030,273995,257089,16906,"6,17%",330059,313889,16170,"4,90%","20,60%",
Boracéia/SP,SP,350730,3293,3042,251,"7,62%",3738,3555,183,"4,90%","35,77%",
Cornélio Procópio/PR,PR,410640,37774,35236,2538,"6,72%",37942,36083,1859,"4,90%","27,08%",
Capão do Leão/RS,RS,430466,18299,16948,1351,"7,38%",21011,19981,1030,"4,90%","33,60%",
Querência/MT,MT,510706,9238,8482,756,"8,18%",19893,18919,974,"4,90%","40,17%",
Pacaembu/SP,SP,353490,11213,10237,976,"8,70%",13289,12636,653,"4,91%","43,55%",
Rancharia/SP,SP,354220,22737,21091,1646,"7,24%",23408,22258,1150,"4,91%","32,14%",
Ibaté/SP,SP,351930,23379,21666,1713,"7,33%",25760,24492,1268,"4,92%","32,82%",
Neves Paulista/SP,SP,353250,7411,6884,527,"7,11%",8164,7762,402,"4,92%","30,75%",
Borda da Mata/MG,MG,310830,13833,12694,1139,"8,23%",14680,13956,724,"4,93%","40,10%",
Medeiros/MG,MG,314130,2643,2486,157,"5,94%",3162,3006,156,"4,93%","16,95%",
Teresópolis/RJ,RJ,330580,127718,119446,8272,"6,48%",135934,129237,6697,"4,93%","23,93%",47
Guareí/SP,SP,351850,11825,10966,859,"7,26%",12729,12102,627,"4,93%","32,19%",
Pariquera-Açu/SP,SP,353620,13879,12936,943,"6,79%",15454,14692,762,"4,93%","27,43%",
Pedrinhas Paulista/SP,SP,353715,2339,2173,166,"7,10%",2375,2258,117,"4,93%","30,59%",
Rosário do Sul/RS,RS,431640,31060,28659,2401,"7,73%",30359,28861,1498,"4,93%","36,17%",
Rio Quente/GO,GO,521878,2474,2354,120,"4,85%",3084,2932,152,"4,93%","-1,61%",
Campos dos Goytacazes/RJ,RJ,330100,356443,332013,24405,"6,85%",388433,369258,19175,"4,94%","27,90%",48
Aramina/SP,SP,350300,4142,3885,257,"6,20%",4452,4232,220,"4,94%","20,36%",
Divinolândia/SP,SP,351390,9213,8509,704,"7,64%",9472,9004,468,"4,94%","35,34%",
Major Vieira/SC,SC,421030,5610,5269,341,"6,08%",5996,5700,296,"4,94%","18,78%",
Alto Alegre/RS,RS,430055,1528,1417,111,"7,26%",1538,1462,76,"4,94%","31,98%",
Catiguá/SP,SP,351120,5688,5173,515,"9,05%",5772,5486,286,"4,95%","45,27%",
Novo Machado/RS,RS,431342,3256,3021,235,"7,22%",2767,2630,137,"4,95%","31,40%",
Capim Branco/MG,MG,311250,6871,6427,444,"6,46%",8729,8296,433,"4,96%","23,24%",
Vargem/SP,SP,355635,6904,6229,675,"9,78%",8441,8022,419,"4,96%","49,23%",
Jaguariaíva/PR,PR,411200,24019,22361,1658,"6,90%",27384,26026,1358,"4,96%","28,16%",
Cristiano Otoni/MG,MG,312040,3798,3569,229,"6,03%",3826,3636,190,"4,97%","17,64%",
Ponte Nova/MG,MG,315210,45455,42281,3174,"6,98%",48388,45981,2407,"4,97%","28,76%",
Três Corações/MG,MG,316930,55581,51705,3876,"6,97%",61258,58214,3044,"4,97%","28,74%",
Aguaí/SP,SP,350030,24887,22962,1925,"7,73%",25917,24630,1287,"4,97%","35,80%",
Apiúna/SC,SC,420125,7323,6890,433,"5,91%",7893,7501,392,"4,97%","16,01%",
Poço Fundo/MG,MG,315170,12772,11884,888,"6,95%",13817,13129,688,"4,98%","28,38%",
Taquaritinga/SP,SP,355370,42676,39597,3079,"7,21%",43332,41172,2160,"4,98%","30,91%",
Jaborandi/SP,SP,352420,5232,4826,406,"7,76%",5152,4895,257,"4,99%","35,72%",
Lucélia/SP,SP,352740,16052,15090,962,"5,99%",17045,16194,851,"4,99%","16,69%",
Jacinto Machado/SC,SC,420870,8366,7729,637,"7,61%",8755,8318,437,"4,99%","34,45%",
Vale do Sol/RS,RS,432253,8841,8290,551,"6,23%",8485,8062,423,"4,99%","20,01%",
Itumirim/MG,MG,313430,4851,4564,287,"5,92%",5515,5239,276,"5,00%","15,41%",
Aracruz/ES,ES,320060,61162,56624,4534,"7,41%",74253,70540,3713,"5,00%","32,55%",
Pindorama/SP,SP,353810,12216,11211,1005,"8,23%",12201,11591,610,"5,00%","39,23%",
Castro/PR,PR,410490,48376,44687,3689,"7,63%",56561,53734,2827,"5,00%","34,46%",
Ibicaré/SC,SC,420680,2703,2521,182,"6,73%",2742,2605,137,"5,00%","25,80%",
Herval/RS,RS,430710,5182,4773,409,"7,89%",5084,4830,254,"5,00%","36,70%",
Altinópolis/SP,SP,350100,12362,11601,761,"6,16%",13725,13037,688,"5,01%","18,57%",
Bocaina/SP,SP,350680,8524,7981,543,"6,37%",9201,8740,461,"5,01%","21,35%",
Santa Branca/SP,SP,354600,10706,9972,734,"6,86%",11618,11036,582,"5,01%","26,93%",
Quilombo/SC,SC,421420,8074,7403,671,"8,31%",9014,8562,452,"5,01%","39,66%",
Engenheiro Paulo de Frontin/RJ,RJ,330180,10672,10055,617,"5,78%",10284,9768,516,"5,02%","13,21%",49
Torre de Pedra/SP,SP,355465,1766,1680,86,"4,87%",1709,1623,86,"5,03%","-3,34%",
Descanso/SC,SC,420490,6989,6611,378,"5,41%",7179,6818,361,"5,03%","7,02%",
Princesa/SC,SC,421415,2152,1929,223,"10,36%",2427,2305,122,"5,03%","51,49%",
São Paulo das Missões/RS,RS,431930,5193,4870,323,"6,22%",5011,4759,252,"5,03%","19,15%",
Hidrolândia/GO,GO,520970,13087,12159,928,"7,09%",21860,20759,1101,"5,04%","28,97%",
Governador Valadares/MG,MG,312770,201929,186630,15299,"7,58%",211442,200755,10687,"5,05%","33,29%",
Pratápolis/MG,MG,315290,7114,6489,625,"8,79%",7131,6771,360,"5,05%","42,54%",
Fernão/SP,SP,351565,1228,1123,105,"8,55%",1347,1279,68,"5,05%","40,96%",
Santa Salete/SP,SP,354765,1212,1135,77,"6,35%",1386,1316,70,"5,05%","20,50%",
Barra do Ribeiro/RS,RS,430190,9761,9075,686,"7,03%",10073,9564,509,"5,05%","28,10%",
Terra Santa/PA,PA,150797,11176,10229,947,"8,47%",13635,12945,690,"5,06%","40,28%",
Além Paraíba/MG,MG,310150,27036,25287,1749,"6,47%",25259,23981,1278,"5,06%","21,79%",
Santos Dumont/MG,MG,316070,36812,34139,2673,"7,26%",35462,33668,1794,"5,06%","30,33%",
Macatuba/SP,SP,352800,12529,11479,1050,"8,38%",13617,12928,689,"5,06%","39,62%",
Erval Velho/SC,SC,420520,3476,3216,260,"7,48%",4035,3831,204,"5,06%","32,41%",
Jardinópolis/SC,SC,420895,1390,1265,125,"8,99%",1443,1370,73,"5,06%","43,74%",
Mineiros/GO,GO,521310,40583,37518,3065,"7,55%",54616,51850,2766,"5,06%","32,94%",
Araçariguama/SP,SP,350275,12406,11572,834,"6,72%",16809,15957,852,"5,07%","24,60%",
Mato Castelhano/RS,RS,431213,1962,1778,184,"9,38%",2052,1948,104,"5,07%","45,96%",
Parnamirim/RN,RN,240325,154318,142027,12291,"7,96%",204371,193964,10407,"5,09%","36,07%",
Paraíso do Tocantins/TO,TO,171610,32960,30702,2258,"6,85%",40736,38657,2079,"5,10%","25,50%",
Juatuba/MG,MG,313665,16642,15215,1427,"8,57%",24472,23223,1249,"5,10%","40,48%",
Marapoama/SP,SP,352885,2138,1991,147,"6,88%",2726,2587,139,"5,10%","25,84%",
Óleo/SP,SP,353380,2108,1982,126,"5,98%",2080,1974,106,"5,10%","14,74%",
Carmópolis de Minas/MG,MG,311450,13265,12568,697,"5,25%",14826,14069,757,"5,11%","2,83%",
Pilar do Sul/SP,SP,353790,20044,18572,1472,"7,34%",22224,21088,1136,"5,11%","30,40%",
Pirangi/SP,SP,353900,8693,8000,693,"7,97%",9111,8645,466,"5,11%","35,84%",
Ibiporã/PR,PR,410980,37574,34778,2796,"7,44%",41813,39678,2135,"5,11%","31,38%",
Vargeão/SC,SC,421910,2684,2456,228,"8,49%",2936,2786,150,"5,11%","39,86%",
Porto Mauá/RS,RS,431505,2102,1963,139,"6,61%",1841,1747,94,"5,11%","22,79%",
Manhuaçu/MG,MG,313940,59317,54229,5088,"8,58%",73074,69334,3740,"5,12%","40,33%",
Francisco Morato/SP,SP,351630,111177,103457,7720,"6,94%",128500,121916,6584,"5,12%","26,21%",
Joaquim Távora/PR,PR,411280,8409,7723,686,"8,16%",9530,9042,488,"5,12%","37,23%",
Faxinal dos Guedes/SC,SC,420530,8068,7506,562,"6,97%",8968,8509,459,"5,12%","26,52%",
Irani/SC,SC,420780,7215,6683,532,"7,37%",8219,7798,421,"5,12%","30,53%",
São Borja/RS,RS,431800,48015,44889,3126,"6,51%",49153,46635,2518,"5,12%","21,31%",
Quatis/RJ,RJ,330412,9895,9228,667,"6,74%",11062,10494,568,"5,13%","23,83%",50
Lobato/PR,PR,411360,3470,3088,382,"11,01%",3804,3609,195,"5,13%","53,43%",
Taquaruçu do Sul/RS,RS,432132,2399,2192,207,"8,63%",2574,2442,132,"5,13%","40,57%",
Corumbataí/SP,SP,351270,2986,2776,210,"7,03%",3386,3212,174,"5,14%","26,93%",
Palmares do Sul/RS,RS,431365,8743,8028,715,"8,18%",10633,10086,547,"5,14%","37,09%",
Pinhal Grande/RS,RS,431447,3491,3212,279,"7,99%",3246,3079,167,"5,14%","35,63%",
Canaã dos Carajás/PA,PA,150215,18134,16334,1800,"9,93%",56142,53253,2889,"5,15%","48,16%",
Itaboraí/RJ,RJ,330190,166960,155953,11007,"6,59%",181553,172202,9351,"5,15%","21,87%",51
Buritizal/SP,SP,350820,3256,3067,189,"5,80%",3595,3410,185,"5,15%","11,35%",
Ibirá/SP,SP,351940,8832,8077,755,"8,55%",9679,9181,498,"5,15%","39,81%",
Morro Agudo/SP,SP,353190,22111,20246,1865,"8,43%",22444,21288,1156,"5,15%","38,94%",
Paiçandu/PR,PR,411750,27768,25658,2110,"7,60%",36320,34450,1870,"5,15%","32,24%",
Chapadão do Lageado/SC,SC,420419,2021,1869,152,"7,52%",2370,2248,122,"5,15%","31,56%",
São José do Ouro/RS,RS,431860,5617,5278,339,"6,04%",5821,5521,300,"5,15%","14,61%",
Esmeraldas/MG,MG,312410,44025,40238,3787,"8,60%",66925,63470,3455,"5,16%","39,98%",
Igarapava/SP,SP,352010,22126,20325,1801,"8,14%",21551,20438,1113,"5,16%","36,55%",
Maracaí/SP,SP,352880,10520,9659,861,"8,18%",10379,9843,536,"5,16%","36,90%",
Atalaia/PR,PR,410220,3165,2871,294,"9,29%",3369,3195,174,"5,16%","44,40%",
Sertanópolis/PR,PR,412650,12418,11571,847,"6,82%",13119,12442,677,"5,16%","24,34%",
Águas Frias/SC,SC,420055,1903,1730,173,"9,09%",2304,2185,119,"5,16%","43,19%",
São Miguel das Missões/RS,RS,431915,5784,5260,524,"9,06%",5835,5534,301,"5,16%","43,06%",
Casa Grande/MG,MG,311490,1765,1661,104,"5,89%",1875,1778,97,"5,17%","12,20%",
Patrocínio/MG,MG,314810,63263,59137,4126,"6,52%",72852,69089,3763,"5,17%","20,80%",
Auriflama/SP,SP,350420,11621,10757,864,"7,43%",11461,10869,592,"5,17%","30,52%",
Praia Grande/SC,SC,421380,5699,5152,547,"9,60%",6731,6383,348,"5,17%","46,13%",
Paraisópolis/MG,MG,314730,15212,13942,1270,"8,35%",17054,16170,884,"5,18%","37,91%",
Itaju/SP,SP,352200,2516,2324,192,"7,63%",2916,2765,151,"5,18%","32,14%",
Itapuí/SP,SP,352290,9417,8851,566,"6,01%",10844,10282,562,"5,18%","13,77%",
Pires do Rio/GO,GO,521740,22610,20883,1727,"7,64%",26677,25296,1381,"5,18%","32,23%",
Mendonça/SP,SP,352950,3769,3505,264,"7,00%",5052,4790,262,"5,19%","25,96%",
Curvelo/MG,MG,312090,57166,52688,4478,"7,83%",66406,62952,3454,"5,20%","33,60%",
Tapira/MG,MG,316810,3262,3045,217,"6,65%",3231,3063,168,"5,20%","21,84%",
Urubici/SC,SC,421890,8096,7565,531,"6,56%",8640,8191,449,"5,20%","20,77%",
Goiandira/GO,GO,520850,4180,3832,348,"8,33%",4176,3959,217,"5,20%","37,58%",
Astolfo Dutra/MG,MG,310460,10474,9744,730,"6,97%",11855,11237,618,"5,21%","25,20%",
Cambuí/MG,MG,311060,21301,19750,1551,"7,28%",24636,23353,1283,"5,21%","28,48%",
Paulicéia/SP,SP,353640,4822,4357,460,"9,54%",6271,5944,327,"5,21%","45,34%",
Pirajuí/SP,SP,353890,18764,17348,1416,"7,55%",19104,18109,995,"5,21%","30,98%",
São Miguel Arcanjo/SP,SP,355020,23553,21674,1879,"7,98%",25730,24389,1341,"5,21%","34,67%",
Tapurah/MT,MT,510800,7875,7466,409,"5,19%",10827,10263,564,"5,21%","-0,30%",
Aracaju/SE,SE,280030,443236,413903,29333,"6,62%",490511,464900,25611,"5,22%","21,10%",
Carmo da Mata/MG,MG,311400,8576,7860,716,"8,35%",9398,8907,491,"5,22%","37,42%",
Rio Bonito/RJ,RJ,330430,43377,39954,3423,"7,89%",46251,43839,2412,"5,22%","33,91%",52
Jandaia do Sul/PR,PR,411210,16241,15051,1190,"7,33%",17778,16850,928,"5,22%","28,76%",
Restinga Sêca/RS,RS,431550,12755,11848,907,"7,11%",12561,11905,656,"5,22%","26,56%",
Avanhandava/SP,SP,350440,8829,8150,679,"7,69%",9212,8730,482,"5,23%","31,96%",
Ipuã/SP,SP,352130,10807,9819,988,"9,14%",11813,11195,618,"5,23%","42,78%",
Taquarituba/SP,SP,355380,17224,15766,1458,"8,46%",20011,18964,1047,"5,23%","38,19%",
Perdões/MG,MG,314990,15876,14695,1181,"7,44%",17688,16761,927,"5,24%","29,55%",
Colatina/ES,ES,320150,88942,82070,6872,"7,73%",98692,93524,5168,"5,24%","32,23%",
Presidente Castelo Branco/PR,PR,412040,3661,3206,455,"12,43%",3533,3348,185,"5,24%","57,87%",
Águas Lindas de Goiás/GO,GO,520025,108589,100976,7613,"7,01%",168413,159586,8827,"5,24%","25,24%",
Moema/MG,MG,314240,5505,5147,358,"6,50%",6286,5956,330,"5,25%","19,27%",
São Tiago/MG,MG,316500,8267,7592,675,"8,16%",9237,8752,485,"5,25%","35,69%",
Gabriel Monteiro/SP,SP,351650,2250,2049,201,"8,93%",2306,2185,121,"5,25%","41,26%",
Mariápolis/SP,SP,352890,3140,2874,266,"8,47%",2914,2761,153,"5,25%","38,02%",
Pardinho/SP,SP,353610,4184,3858,326,"7,79%",5716,5416,300,"5,25%","32,64%",
Cambará/PR,PR,410360,18813,17197,1616,"8,59%",18925,17931,994,"5,25%","38,85%",
Prados/MG,MG,315270,6534,6078,456,"6,98%",7561,7163,398,"5,26%","24,57%",
Curitibanos/SC,SC,420480,28069,25871,2198,"7,83%",31611,29947,1664,"5,26%","32,78%",
Tanabi/SP,SP,355340,19717,18334,1383,"7,01%",20867,19767,1100,"5,27%","24,85%",
Quitandinha/PR,PR,412120,12918,11999,919,"7,11%",14832,14050,782,"5,27%","25,89%",
Santa Terezinha de Itaipu/PR,PR,412405,15890,14736,1154,"7,26%",19484,18458,1026,"5,27%","27,49%",
Novo Cabrais/RS,RS,431339,3106,2835,271,"8,73%",3016,2857,159,"5,27%","39,58%",
Paraguaçu/MG,MG,314720,16034,14872,1162,"7,25%",17842,16900,942,"5,28%","27,15%",
Caconde/SP,SP,350870,14128,13028,1100,"7,79%",14146,13399,747,"5,28%","32,18%",
Guarujá do Sul/SC,SC,420660,3952,3702,250,"6,33%",3998,3787,211,"5,28%","16,57%",
Jari/RS,RS,431113,2862,2643,219,"7,65%",2784,2637,147,"5,28%","31,00%",
Araporã/MG,MG,310375,4645,4260,385,"8,29%",6620,6270,350,"5,29%","36,21%",
Flórida Paulista/SP,SP,351600,10354,9405,949,"9,17%",10986,10405,581,"5,29%","42,30%",
Caibi/SC,SC,420310,4944,4529,415,"8,39%",5181,4907,274,"5,29%","37,00%",
São Vicente de Minas/MG,MG,316530,5389,5006,383,"7,11%",5619,5321,298,"5,30%","25,38%",
Novo Mundo/MT,MT,510626,5246,4658,588,"11,21%",4924,4663,261,"5,30%","52,71%",
Echaporã/SP,SP,351470,4940,4456,484,"9,80%",5014,4748,266,"5,31%","45,85%",
Cajobi/SP,SP,350930,7873,7258,615,"7,81%",7626,7220,406,"5,32%","31,85%",
Itapejara d'Oeste/PR,PR,411120,8220,7618,602,"7,32%",9908,9381,527,"5,32%","27,37%",
Mandaguari/PR,PR,411420,26003,24100,1903,"7,32%",29978,28384,1594,"5,32%","27,34%",
Santo Antônio de Goiás/GO,GO,521973,3534,3231,303,"8,57%",5829,5519,310,"5,32%","37,97%",
Venda Nova do Imigrante/ES,ES,320506,16013,14650,1363,"8,51%",19549,18507,1042,"5,33%","37,38%",
Elias Fausto/SP,SP,351490,12070,11176,894,"7,41%",14194,13437,757,"5,33%","28,00%",
Nova Granada/SP,SP,353300,15248,14196,1052,"6,90%",15817,14974,843,"5,33%","22,75%",
Porangaba/SP,SP,354050,6558,6091,467,"7,12%",8690,8227,463,"5,33%","25,18%",
Turmalina/SP,SP,355530,1676,1486,190,"11,34%",1483,1404,79,"5,33%","53,01%",
Guamiranga/PR,PR,410895,5925,5489,436,"7,36%",6262,5928,334,"5,33%","27,52%",
Ermo/SC,SC,420519,1594,1497,97,"6,09%",1839,1741,98,"5,33%","12,43%",
Novo Horizonte/SP,SP,353350,29203,26984,2219,"7,60%",31547,29861,1686,"5,34%","29,67%",
Butiá/RS,RS,430270,15652,14328,1324,"8,46%",15513,14685,828,"5,34%","36,90%",
Tabaí/RS,RS,432085,3256,2995,261,"8,02%",3580,3389,191,"5,34%","33,44%",
Aripuanã/MT,MT,510140,13092,11779,1313,"10,03%",18259,17284,975,"5,34%","46,76%",
Passa Tempo/MG,MG,314770,6659,6145,514,"7,72%",7231,6844,387,"5,35%","30,66%",
Seritinga/MG,MG,316640,1429,1299,130,"9,10%",1532,1450,82,"5,35%","41,16%",
Uchoa/SP,SP,355560,7723,7159,564,"7,30%",8653,8190,463,"5,35%","26,73%",
Guatambú/SC,SC,420665,3566,3204,362,"10,15%",6522,6173,349,"5,35%","47,29%",
Alfredo Marcondes/SP,SP,350080,3217,2891,326,"10,13%",3691,3493,198,"5,36%","47,06%",
Campina do Monte Alegre/SP,SP,350945,4201,3853,348,"8,28%",4839,4579,260,"5,37%","35,14%",
Iaras/SP,SP,351925,5080,4779,301,"5,93%",6760,6397,363,"5,37%","9,37%",
Tuiuti/SP,SP,355495,4814,4391,423,"8,79%",5663,5359,304,"5,37%","38,91%",
Ilópolis/RS,RS,431030,3345,3118,227,"6,79%",3522,3333,189,"5,37%","20,92%",
Araújos/MG,MG,310390,6036,5547,489,"8,10%",7401,7003,398,"5,38%","33,62%",
Bom Jesus do Amparo/MG,MG,310770,4238,3813,425,"10,03%",4574,4328,246,"5,38%","46,37%",
Bananal/SP,SP,350490,7870,7235,635,"8,07%",8219,7777,442,"5,38%","33,35%",
Macaubal/SP,SP,352810,6335,5837,498,"7,86%",6324,5984,340,"5,38%","31,61%",
Quintana/SP,SP,354200,4766,4315,451,"9,46%",5674,5369,305,"5,38%","43,19%",
Chavantes/SP,SP,355720,9340,8518,822,"8,80%",9844,9314,530,"5,38%","38,82%",
Ampére/PR,PR,410100,13126,12139,987,"7,52%",15674,14831,843,"5,38%","28,47%",
Prudentópolis/PR,PR,412060,36689,33790,2899,"7,90%",39757,37617,2140,"5,38%","31,88%",
Tijucas do Sul/PR,PR,412760,10716,9795,921,"8,59%",13905,13157,748,"5,38%","37,41%",
São José da Barra/MG,MG,316294,5232,4885,347,"6,63%",6191,5857,334,"5,39%","18,66%",
Nova Londrina/PR,PR,411710,10094,9233,861,"8,53%",10417,9856,561,"5,39%","36,86%",
Rodeio Bonito/RS,RS,431590,4580,4217,363,"7,93%",5402,5111,291,"5,39%","32,03%",
Mato Grosso do Sul,MS,#N/A,1837311,1696164,141141,"7,68%",2150221,2034357,115864,"5,39%","29,86%",
Camaçari/BA,BA,290570,180556,166509,14047,"7,78%",235486,222758,12728,"5,40%","30,53%",
Laranjeiras do Sul/PR,PR,411330,23036,21085,1951,"8,47%",25525,24147,1378,"5,40%","36,26%",
Ribeirão Claro/PR,PR,412180,8424,7796,628,"7,45%",10109,9563,546,"5,40%","27,55%",
Pedrinópolis/MG,MG,314920,2697,2421,276,"10,23%",2737,2589,148,"5,41%","47,16%",
São Gotardo/MG,MG,316210,24452,22488,1964,"8,03%",32596,30832,1764,"5,41%","32,62%",
Ibirarema/SP,SP,351950,5185,4831,354,"6,83%",5231,4948,283,"5,41%","20,76%",
Itaberá/SP,SP,352170,13521,12349,1172,"8,67%",14581,13792,789,"5,41%","37,57%",
Novais/SP,SP,353325,3487,3102,385,"11,04%",3472,3284,188,"5,41%","50,96%",
Floresta/PR,PR,410790,4739,4404,335,"7,07%",8241,7795,446,"5,41%","23,44%",
São João Batista do Glória/MG,MG,316220,5447,4915,532,"9,77%",6333,5990,343,"5,42%","44,55%",
Campo Limpo de Goiás/GO,GO,520485,4496,3882,614,"13,66%",6123,5791,332,"5,42%","60,30%",
Itaguara/MG,MG,313220,9824,9023,801,"8,15%",11482,10859,623,"5,43%","33,45%",
Mateus Leme/MG,MG,314070,21095,19444,1651,"7,83%",30201,28560,1641,"5,43%","30,57%",
Cruzália/SP,SP,351330,1849,1708,141,"7,63%",1767,1671,96,"5,43%","28,76%",
Mira Estrela/SP,SP,353000,2281,2044,237,"10,39%",2614,2472,142,"5,43%","47,72%",
Pereira Barreto/SP,SP,353740,19808,18150,1658,"8,37%",19890,18809,1081,"5,43%","35,07%",
Santa Isabel/SP,SP,354680,38644,35749,2895,"7,49%",43137,40793,2344,"5,43%","27,47%",
Arambaré/RS,RS,430085,2915,2700,215,"7,38%",3480,3291,189,"5,43%","26,37%",
Roque Gonzales/RS,RS,431630,5786,5375,411,"7,10%",5566,5264,302,"5,43%","23,62%",
Parauapebas/PA,PA,150553,106308,97690,8618,"8,11%",197162,186428,10734,"5,44%","32,84%",
Tiros/MG,MG,316890,5539,4949,590,"10,65%",6511,6157,354,"5,44%","48,96%",
Sabáudia/PR,PR,412270,4835,4364,471,"9,74%",7055,6671,384,"5,44%","44,13%",
Cândido Rodrigues/SP,SP,351010,2228,2036,192,"8,62%",2479,2344,135,"5,45%","36,81%",
Vargem Bonita/SC,SC,421917,3531,3285,246,"6,97%",3632,3434,198,"5,45%","21,75%",
Corumbaíba/GO,GO,520590,6398,5753,645,"10,08%",7401,6998,403,"5,45%","45,99%",
Areado/MG,MG,310430,10860,10079,781,"7,19%",11420,10797,623,"5,46%","24,14%",
Nazareno/MG,MG,314450,6096,5553,543,"8,91%",6776,6406,370,"5,46%","38,70%",
