Cidade,UF,,,População,População sem Água,População sem Esgoto,População sem coleta de lixo
Ilhabela,SP,Ilhabela/SP,352040,34934,"25,13%","46,89%",0%
Santo Antônio do Aventureiro,MG,Santo Antônio do Aventureiro/MG,316000,3769,"41,26%","46,94%","32,79%"
São José de Piranhas,PB,São José de Piranhas/PB,251450,19067,"20,21%","46,96%","14,70%"
Maria da Fé,MG,Maria da Fé/MG,313990,14247,"44,62%",47%,"1,60%"
Feira de Santana,BA,Feira de Santana/BA,291080,616272,"10,21%",47%,"11,57%"
Caatiba,BA,Caatiba/BA,290480,6205,"52,80%","47,03%","6,29%"
Guapó,GO,Guapó/GO,520920,19545,"39,46%","47,04%","27,35%"
Iguape,SP,Iguape/SP,352030,29115,"41,38%","47,05%","14,01%"
Caputira,MG,Caputira/MG,311290,8936,"60,85%","47,12%","28,04%"
Igaporã,BA,Igaporã/BA,291340,15527,"17,53%","47,16%",--
Pedro Avelino,RN,Pedro Avelino/RN,240970,6242,"36,29%","47,24%","24,93%"
São Miguel do Araguaia,GO,São Miguel do Araguaia/GO,522020,21900,"19,28%","47,39%","13,24%"
Ipiguá,SP,Ipiguá/SP,352115,6761,"47,39%","47,39%","41,44%"
Muqui,ES,Muqui/ES,320380,13745,"26,97%","0,85%",0%
Doutor Camargo,PR,Doutor Camargo/PR,410730,6327,"0,02%","47,48%","14,65%"
Mairi,BA,Mairi/BA,292010,17674,"40,33%","47,54%","37,76%"
Itaberaí,GO,Itaberaí/GO,521040,44734,"16,56%","47,58%","10,36%"
Tocantinópolis,TO,Tocantinópolis/TO,172120,22615,"14,67%","47,60%","7,14%"
Anicuns,GO,Anicuns/GO,520130,18503,0%,"47,68%",0%
Cumbe,SE,Cumbe/SE,280190,3824,"0,39%","47,70%","8,47%"
Alvorada D'Oeste,RO,Alvorada D'Oeste/RO,110034,13117,"47,74%","47,74%",--
Ubaporanga,MG,Ubaporanga/MG,317005,13017,"56,03%","47,76%",0%
Monte Alegre de Sergipe,SE,Monte Alegre de Sergipe/SE,280420,14336,"1,71%","47,76%","41,02%"
Coroaci,MG,Coroaci/MG,311920,10884,"52,60%","47,77%","53,91%"
Teixeiras,MG,Teixeiras/MG,316850,12255,"37,98%","47,78%","31,24%"
Chiador,MG,Chiador/MG,311620,2800,"47,82%","47,82%","46,64%"
Terra Rica,PR,Terra Rica/PR,412730,14842,"18,62%","47,85%","11,74%"
São Miguel Arcanjo,SP,São Miguel Arcanjo/SP,355020,32039,"35,25%","47,87%","12,61%"
Guanambi,BA,Guanambi/BA,291170,87817,"20,08%","47,94%","22,86%"
Alexandria,RN,Alexandria/RN,240050,13640,"34,11%","47,95%","34,11%"
Aroeiras do Itaim,PI,Aroeiras do Itaim/PI,220095,2690,"5,17%","47,96%",--
Itanhaém,SP,Itanhaém/SP,352210,112476,"9,62%","48,01%","4,04%"
Pavão,MG,Pavão/MG,314850,8047,"38,28%","48,01%","39,43%"
Juru,PB,Juru/PB,250800,9234,"42,35%","48,02%","38,83%"
Erval Grande,RS,Erval Grande/RS,430720,4930,"49,49%","48,13%","18,86%"
Pranchita,PR,Pranchita/PR,412035,5737,"12,52%","48,13%","32,02%"
Guiricema,MG,Guiricema/MG,312900,7778,"59,76%","48,24%","0,90%"
Goiatuba,GO,Goiatuba/GO,520910,35664,"7,30%","48,25%","4,56%"
Santo Antônio do Sudoeste,PR,Santo Antônio do Sudoeste/PR,412440,23673,"22,81%","48,38%","32,41%"
São Sebastião da Vargem Alegre,MG,São Sebastião da Vargem Alegre/MG,316443,3113,"44,68%","48,38%","42,72%"
Santa Maria do Suaçuí,MG,Santa Maria do Suaçuí/MG,315820,12788,"29,45%","48,43%","26,31%"
Guarda-Mor,MG,Guarda-Mor/MG,312860,6539,"46,31%","48,43%","12,83%"
Nova Olinda,PB,Nova Olinda/PB,251020,5787,"31,42%","48,51%","48,51%"
Salto do Lontra,PR,Salto do Lontra/PR,412300,15223,"21,13%","48,52%","7,99%"
Iracema,RR,Iracema/RR,140028,10023,"38,38%","48,54%","48,54%"
Juramento,MG,Juramento/MG,313680,3768,"47,45%","48,59%","9,77%"
Malhador,SE,Malhador/SE,280390,11533,"19,55%","48,60%","0,01%"
Goiana,PE,Goiana/PE,260620,81055,"30,75%","48,61%","0,68%"
Santa Rita de Caldas,MG,Santa Rita de Caldas/MG,315920,8460,"38,59%","48,63%",--
Bonfim,RR,Bonfim/RR,140015,13923,"51,30%","48,63%","8,78%"
Picos,PI,Picos/PI,220800,83090,"17,64%","48,64%","11,15%"
Morretes,PR,Morretes/PR,411620,18309,"10,02%","48,68%","0,17%"
Monteiro,PB,Monteiro/PB,250970,32277,"18,46%","48,68%",--
Brasília de Minas,MG,Brasília de Minas/MG,310860,32025,"39,36%","48,75%","35,37%"
Itaju do Colônia,BA,Itaju do Colônia/BA,291540,6037,"20,01%","48,88%","0,07%"
Desterro de Entre Rios,MG,Desterro de Entre Rios/MG,312140,7653,"38,98%","48,91%","34,67%"
Nova Módica,MG,Nova Módica/MG,314490,3663,"39,39%","48,95%","39,39%"
São João do Sabugi,RN,São João do Sabugi/RN,241210,5956,"7,76%","48,96%","21,41%"
Tiradentes,MG,Tiradentes/MG,316880,7744,"33,12%","48,97%",--
Joaíma,MG,Joaíma/MG,313600,13888,"33,42%","48,97%","35,20%"
Terra Nova,PE,Terra Nova/PE,261520,8920,0%,"48,99%","12,05%"
Bela Vista do Paraíso,PR,Bela Vista do Paraíso/PR,410280,14833,"0,01%","49,05%","1,91%"
Pintadas,BA,Pintadas/BA,292465,10325,"32,19%","49,06%","46,37%"
Jeceaba,MG,Jeceaba/MG,313540,6197,"12,94%","49,07%","12,99%"
Xambrê,PR,Xambrê/PR,412880,5798,"3,29%","49,09%","67,06%"
Mira Estrela,SP,Mira Estrela/SP,353000,3126,"48,50%","49,10%","1,79%"
Queimadas,BA,Queimadas/BA,292580,25988,"31,28%","49,15%",--
Cruz das Almas,BA,Cruz das Almas/BA,290980,60348,"9,95%","49,24%","3,89%"
Mucurici,ES,Mucurici/ES,320360,5466,"27,46%","33,77%","36,50%"
Araçuaí,MG,Araçuaí/MG,310340,34297,"27,66%","49,28%","33,96%"
Peixoto de Azevedo,MT,Peixoto de Azevedo/MT,510642,32714,"32,23%","49,29%","32,23%"
Brasilândia,MS,Brasilândia/MS,500230,11579,"32,60%","49,36%","30,75%"
Itaguaçu,ES,Itaguaçu/ES,320270,13589,"28,74%","35,89%","9,25%"
São João,PR,São João/PR,412480,11886,"18,93%","49,39%","17,55%"
Cravolândia,BA,Cravolândia/BA,290950,4415,"33,45%","49,42%","12,80%"
São Tiago,MG,São Tiago/MG,316500,11192,"26,56%","49,45%","15,86%"
Jauru,MT,Jauru/MT,510500,8367,"41,28%","49,47%","40,91%"
Guararema,SP,Guararema/SP,351830,31236,"34,38%","49,56%",1%
Juquiá,SP,Juquiá/SP,352610,17154,"43,69%","49,62%","9,57%"
Sinop,MT,Sinop/MT,510790,196312,"15,68%","49,71%","15,68%"
Olivedos,PB,Olivedos/PB,251050,3580,"34,61%","49,72%","47,57%"
Jacinto,MG,Jacinto/MG,313470,11042,"21,39%","49,75%",--
São José da Lapa,MG,São José da Lapa/MG,316295,26090,"49,87%","49,87%","3,10%"
Floresta,PE,Floresta/PE,260570,30137,0%,"49,87%","28,38%"
Rio do Prado,MG,Rio do Prado/MG,315510,4639,"39,15%","49,88%","47,77%"
Vianópolis,GO,Vianópolis/GO,522200,14956,"30,29%","49,92%","19,63%"
Águas de Santa Bárbara,SP,Águas de Santa Bárbara/SP,350055,7177,"27,80%","49,99%","0,82%"
Rio Azul,PR,Rio Azul/PR,412200,14025,"45,33%","50,03%","64,42%"
Montividiu,GO,Montividiu/GO,521375,12521,"9,90%","50,13%","17,54%"
Bueno Brandão,MG,Bueno Brandão/MG,310910,10911,"48,62%","50,17%","1,37%"
Quedas do Iguaçu,PR,Quedas do Iguaçu/PR,412090,30738,"10,06%","50,19%","31,32%"
São Roque,SP,São Roque/SP,355060,79484,"27,56%","50,20%",0%
Alto Rio Doce,MG,Alto Rio Doce/MG,310210,10891,"59,37%","50,23%","58,29%"
Mariluz,PR,Mariluz/PR,411510,9847,"0,48%","50,24%","17,19%"
Arco-Íris,SP,Arco-Íris/SP,350335,2044,"49,95%","50,39%",43%
Vargem Bonita,SC,Vargem Bonita/SC,421917,4576,"19,14%","50,44%","44,19%"
Campina das Missões,RS,Campina das Missões/RS,430370,5882,"67,61%","50,46%","41,62%"
Araçariguama,SP,Araçariguama/SP,350275,21522,"28,48%","50,50%",0%
Recife,PE,Recife/PE,261160,1488920,"1,29%","50,50%",0%
Barão de Antonina,SP,Barão de Antonina/SP,350500,3531,"39,34%","50,55%",0%
Açucena,MG,Açucena/MG,310050,8943,"63,12%","50,63%",20%
Socorro,SP,Socorro/SP,355210,40122,"48,32%","50,71%","6,54%"
Apiaí,SP,Apiaí/SP,350270,24585,"33,50%","50,73%","1,46%"
Criciúma,SC,Criciúma/SC,420460,214493,0%,"50,74%",0%
Bandeira,MG,Bandeira/MG,310520,4741,"43,79%","50,85%","53,70%"
Barra da Estiva,BA,Barra da Estiva/BA,290280,26026,"24,56%","50,88%","45,12%"
Presidente Juscelino,MG,Presidente Juscelino/MG,315320,3465,"50,51%","50,94%","30,30%"
Biritiba Mirim,SP,Biritiba Mirim/SP,350660,29683,"46,16%","50,96%","3,82%"
Jequitinhonha,MG,Jequitinhonha/MG,313580,24007,"29,81%","50,96%","33,35%"
Bertópolis,MG,Bertópolis/MG,310660,4451,"40,51%","51,02%",--
Blumenau,SC,Blumenau/SC,420240,361261,"0,40%","51,03%",2%
São Miguel do Gostoso,RN,São Miguel do Gostoso/RN,241255,10221,"91,14%","51,08%","21,73%"
Ortigueira,PR,Ortigueira/PR,411730,24192,"28,11%","51,09%","29,73%"
Paraibuna,SP,Paraibuna/SP,353560,17667,"23,04%","51,13%",2%
Santa Bárbara do Leste,MG,Santa Bárbara do Leste/MG,315725,8458,"51,14%","51,14%","23,15%"
Laranjeiras do Sul,PR,Laranjeiras do Sul/PR,411330,32227,"0,01%","51,31%","12,01%"
Pardinho,SP,Pardinho/SP,353610,7153,"41,12%","51,31%","21,88%"
Pedra do Indaiá,MG,Pedra do Indaiá/MG,314890,4112,"51,99%","51,36%","23,01%"
Oliveira Fortes,MG,Oliveira Fortes/MG,314570,2027,"45,39%","51,41%","49,38%"
Lajinha,MG,Lajinha/MG,313770,20835,"38,03%","51,44%","5,64%"
Conceição da Barra de Minas,MG,Conceição da Barra de Minas/MG,311520,3560,"28,82%","51,49%","1,69%"
Várzea Alegre,CE,Várzea Alegre/CE,231400,38984,"44,45%","51,49%","38,08%"
Tapiramutá,BA,Tapiramutá/BA,293130,15818,"19,99%","51,52%","40,04%"
Nova Venécia,ES,Nova Venécia/ES,320390,49065,"29,98%","77,70%",0%
Lavínia,SP,Lavínia/SP,352650,9689,"51,66%","51,66%","2,74%"
Taiobeiras,MG,Taiobeiras/MG,316800,33050,"21,46%","51,67%","2,99%"
Pedra Preta,MT,Pedra Preta/MT,510637,18066,"21,78%","51,68%","14,99%"
Capanema,PR,Capanema/PR,410450,20481,"20,69%","51,72%","6,23%"
Jaguaribe,CE,Jaguaribe/CE,230690,33726,"6,21%","51,72%","30,46%"
Pirapora,MG,Pirapora/MG,315120,55606,"0,57%","51,78%","1,36%"
Água Branca,PB,Água Branca/PB,250010,9335,"78,98%","51,79%","19,66%"
São Bento do Trairí,RN,São Bento do Trairí/RN,241170,3792,"25,45%","51,79%","51,79%"
Fronteira dos Vales,MG,Fronteira dos Vales/MG,312705,4345,"32,27%","51,83%",--
Cachoeira,BA,Cachoeira/BA,290490,29250,"19,25%","51,89%",--
Mirante,BA,Mirante/BA,292145,10187,"82,78%","51,90%","63,72%"
Vale de São Domingos,MT,Vale de São Domingos/MT,510835,2904,"5,17%","51,93%","33,57%"
Juruaia,MG,Juruaia/MG,313690,11084,"54,41%",52%,"7,98%"
Bom Jesus do Amparo,MG,Bom Jesus do Amparo/MG,310770,5631,"54,50%","52,07%","52,94%"
Martinho Campos,MG,Martinho Campos/MG,314050,14003,"20,60%","52,12%","12,85%"
Colíder,MT,Colíder/MT,510320,31370,"11,50%","52,13%","20,26%"
Marmeleiro,PR,Marmeleiro/PR,411540,15901,"19,21%","52,29%","36,63%"
Sarapuí,SP,Sarapuí/SP,355110,10369,"21,35%","52,31%","8,38%"
Altamira,PA,Altamira/PA,150060,126279,"50,62%","52,34%","9,22%"
Valparaíso de Goiás,GO,Valparaíso de Goiás/GO,522185,198861,"10,85%","52,36%","0,95%"
Itambacuri,MG,Itambacuri/MG,313270,21042,"18,24%","52,48%","17,06%"
Tijucas,SC,Tijucas/SC,421800,51592,"4,11%","52,51%","19,46%"
São José,SC,São José/SC,421660,270299,"4,31%","52,57%",0%
Tomazina,PR,Tomazina/PR,412780,8426,"39,53%","52,59%","2,68%"
Rosário do Ivaí,PR,Rosário do Ivaí/PR,412265,5435,"25,10%","52,59%","38,22%"
Lagoa Santa,MG,Lagoa Santa/MG,313760,75145,"23,41%","52,62%","12,34%"
Santa Branca,SP,Santa Branca/SP,354600,13975,"49,62%","52,75%","10,55%"
Rio Vermelho,MG,Rio Vermelho/MG,315600,12641,"60,94%","52,82%","47,79%"
Ivaí,PR,Ivaí/PR,411140,13229,"29,71%","52,93%","62,20%"
Niquelândia,GO,Niquelândia/GO,521460,34964,0%,"52,99%","5,62%"
Paulista,PE,Paulista/PE,261070,342167,"2,12%","53,13%",0%
São Gonçalo do Abaeté,MG,São Gonçalo do Abaeté/MG,316170,7375,"50,33%","53,14%","20,08%"
Ribeirão Branco,SP,Ribeirão Branco/SP,354300,18627,"32,76%","53,16%","11,18%"
Angélica,MS,Angélica/MS,500085,10729,"17,62%","53,19%","16,78%"
Eldorado,SP,Eldorado/SP,351480,13069,"52,48%","53,25%","17,97%"
Guareí,SP,Guareí/SP,351850,15013,"20,04%","53,26%","13,41%"
Itambé do Mato Dentro,MG,Itambé do Mato Dentro/MG,313280,2142,"53,31%","53,31%","38,38%"
Brejo Santo,CE,Brejo Santo/CE,230250,51090,"31,74%","53,33%","20,09%"
Bom Jesus,RS,Bom Jesus/RS,430230,11202,"24,95%","53,39%","28,58%"
Tapiraí,SP,Tapiraí/SP,355350,7996,"50,61%","53,45%","12,46%"
Palmeiras,BA,Palmeiras/BA,292350,10339,"31,18%","53,46%","28,91%"
Faxinal,PR,Faxinal/PR,410760,16389,"0,01%","53,52%","14,58%"
Sete Barras,SP,Sete Barras/SP,355180,12730,"43,11%","53,53%","5,07%"
São Félix de Minas,MG,São Félix de Minas/MG,316105,3200,"40,97%","53,53%","2,50%"
Paulicéia,SP,Paulicéia/SP,353640,7955,"5,22%","53,59%","16,98%"
Gravataí,RS,Gravataí/RS,430920,265074,0%,"53,73%",0%
Fátima,BA,Fátima/BA,291075,17895,"9,40%","53,73%","16,18%"
Ribeiro Gonçalves,PI,Ribeiro Gonçalves/PI,220890,6164,"32,92%","53,73%","18,88%"
Silva Jardim,RJ,Silva Jardim/RJ,330560,21352,"13,39%","53,77%","6,89%"
Itinga,MG,Itinga/MG,313400,13745,"40,74%","53,78%","48,71%"
São Gabriel da Palha,ES,São Gabriel da Palha/ES,320470,32252,"30,00%","53,97%",0%
Fervedouro,MG,Fervedouro/MG,312595,10445,"53,94%","53,94%","45,69%"
Riacho de Santo Antônio,PB,Riacho de Santo Antônio/PB,251278,1955,Sem Atendimento,"53,96%","31,10%"
São Mateus do Sul,PR,São Mateus do Sul/PR,412560,42366,"25,58%","53,97%","30,68%"
Itarana,ES,Itarana/ES,320290,10597,"30,73%","49,27%","33,94%"
Viana,ES,Viana/ES,320510,73423,"31,80%","65,02%","10,73%"
Vargem Grande Paulista,SP,Vargem Grande Paulista/SP,355645,50415,"3,07%","54,06%","0,16%"
São José do Belmonte,PE,São José do Belmonte/PE,261350,34843,"32,81%","54,08%","54,08%"
Itaberaba,BA,Itaberaba/BA,291470,65073,"10,78%","54,23%","0,66%"
Extrema,MG,Extrema/MG,312510,53482,"41,57%","54,25%",0%
Aricanduva,MG,Aricanduva/MG,310445,4719,"34,80%","54,25%","64,44%"
Salesópolis,SP,Salesópolis/SP,354500,15202,"50,18%","54,38%",0%
Camanducaia,MG,Camanducaia/MG,311050,26097,"40,46%","54,40%","11,14%"
Mimoso de Goiás,GO,Mimoso de Goiás/GO,521305,2614,"52,18%","54,48%","54,48%"
Serra dos Aimorés,MG,Serra dos Aimorés/MG,316670,6944,"15,03%","54,52%",--
Lavras da Mangabeira,CE,Lavras da Mangabeira/CE,230750,30802,"50,61%","54,55%","0,35%"
Monte Alegre do Sul,SP,Monte Alegre do Sul/SP,353120,8627,"9,76%","54,58%","8,48%"
Comercinho,MG,Comercinho/MG,311700,6660,"44,46%","54,59%","54,95%"
Tarumirim,MG,Tarumirim/MG,316840,14709,"54,61%","54,61%","31,33%"
São Francisco do Glória,MG,São Francisco do Glória/MG,316140,4800,"39,56%","54,69%","0,08%"
Camaçari,BA,Camaçari/BA,290570,300372,"4,46%","54,69%","2,09%"
Senhora dos Remédios,MG,Senhora dos Remédios/MG,316620,10384,"32,22%","54,77%","51,74%"
Santa Isabel,SP,Santa Isabel/SP,354680,53174,"41,10%","54,83%","57,40%"
Resplendor,MG,Resplendor/MG,315430,17226,"41,37%","54,85%","31,24%"
Engenheiro Navarro,MG,Engenheiro Navarro/MG,312380,6354,"33,68%","54,85%","33,68%"
Casa Nova,BA,Casa Nova/BA,290720,72086,"9,55%","54,91%","2,89%"
Barra,BA,Barra/BA,290270,51092,"21,71%","54,98%","54,98%"
Alto Parnaíba,MA,Alto Parnaíba/MA,210050,11109,"36,31%","54,99%","54,99%"
Jaguaribara,CE,Jaguaribara/CE,230680,10356,"6,01%","55,03%","16,58%"
Capitão Enéas,MG,Capitão Enéas/MG,311270,14108,"32,56%","55,05%","20,26%"
Medianeira,PR,Medianeira/PR,411580,54369,"0,01%","55,21%","10,55%"
Santa Cruz Cabrália,BA,Santa Cruz Cabrália/BA,292770,29185,"19,58%","55,21%","24,67%"
Paranhos,MS,Paranhos/MS,500635,12921,"49,78%","55,23%","49,27%"
Mata de São João,BA,Mata de São João/BA,292100,42566,"15,54%","55,25%",10%
Lagoinha,SP,Lagoinha/SP,352630,5083,"54,44%","55,26%","35,33%"
Novo Oriente de Minas,MG,Novo Oriente de Minas/MG,314535,10275,"46,08%","55,26%","32,12%"
Marilândia do Sul,PR,Marilândia do Sul/PR,411490,8677,"0,48%","55,27%","19,89%"
Alambari,SP,Alambari/SP,350075,6141,"27,67%","55,27%","0,90%"
Novo Gama,GO,Novo Gama/GO,521523,103804,"5,61%","55,29%","8,74%"
Santa Rita do Pardo,MS,Santa Rita do Pardo/MS,500755,7027,"50,16%","55,30%","49,65%"
Santa Helena,PR,Santa Helena/PR,412350,25492,"44,54%","55,30%","47,46%"
Candói,PR,Candói/PR,410442,14973,"23,12%","55,37%","33,21%"
União,PI,União/PI,221110,46119,"60,78%","55,45%","35,51%"
Barbosa Ferraz,PR,Barbosa Ferraz/PR,410250,10795,"0,02%","55,46%","12,92%"
Pedralva,MG,Pedralva/MG,314910,10760,"51,53%","55,48%","10,83%"
Bela Vista de Goiás,GO,Bela Vista de Goiás/GO,520330,34445,"35,10%","55,49%","28,01%"
Assis Chateaubriand,PR,Assis Chateaubriand/PR,410200,36808,"0,01%","55,50%","13,12%"
Santo Amaro,BA,Santo Amaro/BA,292860,56012,"15,39%","55,51%","3,71%"
Sertaneja,PR,Sertaneja/PR,412640,5616,0%,"55,54%",0%
Afonso Bezerra,RN,Afonso Bezerra/RN,240030,10839,"53,80%","55,55%","7,74%"
Mar Vermelho,AL,Mar Vermelho/AL,270490,3155,"49,67%","55,63%","20,76%"
Candeias,BA,Candeias/BA,290650,72382,"9,24%","55,64%","2,60%"
Carinhanha,BA,Carinhanha/BA,290710,28869,0%,"55,65%","13,40%"
Bonito,PE,Bonito/PE,260230,37474,0%,"55,65%","22,29%"
Anaurilândia,MS,Anaurilândia/MS,500080,7653,"48,62%","55,66%",0%
Divino,MG,Divino/MG,312200,20706,"50,94%","55,72%","27,56%"
São Luiz do Paraitinga,SP,São Luiz do Paraitinga/SP,355000,10337,"52,84%","55,80%","3,26%"
Bofete,SP,Bofete/SP,350690,10460,"50,50%","55,88%","4,94%"
Olinda,PE,Olinda/PE,260960,349976,0%,"55,88%","0,02%"
Iporã,PR,Iporã/PR,411060,15746,"0,01%","55,91%","21,47%"
Itapirapuã Paulista,SP,Itapirapuã Paulista/SP,352265,4306,"49,70%","55,95%","24,50%"
Panorama,SP,Panorama/SP,353540,14964,"45,72%","55,97%","3,01%"
Cordisburgo,MG,Cordisburgo/MG,311890,7547,"31,22%","55,97%","31,22%"
Atílio Vivácqua,ES,Atílio Vivácqua/ES,320070,10540,"33,86%","13,47%",--
Serrita,PE,Serrita/PE,261400,18207,"34,23%","56,06%","37,87%"
Desterro do Melo,MG,Desterro do Melo/MG,312150,2994,"53,84%","56,08%","53,84%"
São João do Manhuaçu,MG,São João do Manhuaçu/MG,316255,11246,"53,33%","56,09%",--
João Câmara,RN,João Câmara/RN,240580,33290,"23,91%","56,16%","15,32%"
Araripina,PE,Araripina/PE,260110,85088,"26,64%","56,17%","57,42%"
Bocaiúva do Sul,PR,Bocaiúva do Sul/PR,410310,13299,"9,51%","56,21%",0%
Diamantino,MT,Diamantino/MT,510350,21941,"20,64%","56,25%","20,64%"
Pendências,RN,Pendências/RN,240990,12278,"37,47%","56,27%","0,04%"
União da Vitória,PR,União da Vitória/PR,412820,55033,"0,01%","56,33%","4,06%"
Natércia,MG,Natércia/MG,314440,4691,"42,72%","56,36%","2,37%"
Brumadinho,MG,Brumadinho/MG,310900,38915,"26,51%","56,36%","2,35%"
Capela Nova,MG,Capela Nova/MG,311220,4362,"55,09%","56,44%","32,16%"
Lauro Müller,SC,Lauro Müller/SC,420960,14381,"29,67%","56,51%","1,31%"
Araci,BA,Araci/BA,290210,48294,"30,38%","56,57%","4,26%"
Imbaú,PR,Imbaú/PR,411007,14249,"11,19%","56,59%","18,46%"
Saloá,PE,Saloá/PE,261230,13836,"55,78%","56,63%","6,04%"
Itaipé,MG,Itaipé/MG,313230,10463,"45,17%","56,67%","23,54%"
Matinha,MA,Matinha/MA,210650,22034,"94,51%","56,73%","67,50%"
Juara,MT,Juara/MT,510510,34906,"0,99%","56,74%","4,03%"
São Bento do Sapucaí,SP,São Bento do Sapucaí/SP,354860,11674,"40,75%","56,76%","31,47%"
Bom Repouso,MG,Bom Repouso/MG,310790,12649,"55,59%","56,76%","0,03%"
Nossa Senhora do Socorro,SE,Nossa Senhora do Socorro/SE,280480,192330,"0,18%","56,80%",0%
Tubarão,SC,Tubarão/SC,421870,110088,0%,"56,88%","5,86%"
Araçoiaba da Serra,SP,Araçoiaba da Serra/SP,350290,32443,"0,00%","56,97%",0%
Miracatu,SP,Miracatu/SP,352990,18553,"54,71%","57,07%","43,93%"
Sumidouro,RJ,Sumidouro/RJ,330570,15206,"70,43%","57,25%","31,90%"
Salto do Jacuí,RS,Salto do Jacuí/RS,431645,10203,0%,"57,27%","10,81%"
Boa Viagem,CE,Boa Viagem/CE,230240,50411,"27,35%","57,27%","44,46%"
Alvorada,RS,Alvorada/RS,430060,187315,0%,"57,28%",0%
Lucas do Rio Verde,MT,Lucas do Rio Verde/MT,510525,83798,"16,86%","57,33%","6,84%"
Campo Magro,PR,Campo Magro/PR,410425,30160,"15,49%","57,39%","30,37%"
Carnaíba,PE,Carnaíba/PE,260390,18644,"23,49%","57,42%","35,10%"
Josenópolis,MG,Josenópolis/MG,313657,3630,"29,75%","57,44%","46,80%"
Iporanga,SP,Iporanga/SP,352120,4046,"55,04%","57,49%","25,85%"
São Bento do Sul,SC,São Bento do Sul/SC,421580,83277,"5,36%","57,50%","4,60%"
Mucugê,BA,Mucugê/BA,292190,12137,0%,"57,58%",0%
Porto,PI,Porto/PI,220850,12052,"39,10%","57,58%","36,57%"
Parnamirim,PE,Parnamirim/PE,261040,18612,"21,40%","57,61%","55,94%"
Itapiranga,SC,Itapiranga/SC,420840,16638,"0,81%","57,70%","36,89%"
Lages,SC,Lages/SC,420930,164981,"1,93%","57,74%","0,42%"
Pau Brasil,BA,Pau Brasil/BA,292390,9370,"32,18%","57,75%",--
Lençóis,BA,Lençóis/BA,291930,10774,"19,80%","57,76%",2%
Ubiratã,PR,Ubiratã/PR,412800,24749,"0,01%","57,78%","14,72%"
Passo Fundo,RS,Passo Fundo/RS,431410,206215,"2,60%","57,80%",0%
Coronel Murta,MG,Coronel Murta/MG,311950,8200,"20,28%","57,80%","27,23%"
Santa Terezinha,BA,Santa Terezinha/BA,292850,10441,"28,59%","57,86%","28,91%"
Antonina do Norte,CE,Antonina do Norte/CE,230080,7245,"22,94%","57,90%","19,20%"
Tacaimbó,PE,Tacaimbó/PE,261470,13738,"20,43%","57,97%","49,05%"
Taperoá,PB,Taperoá/PB,251650,14068,"21,01%","58,04%","40,05%"
São José dos Ausentes,RS,São José dos Ausentes/RS,431862,4172,"49,21%","58,05%","35,28%"
Ipupiara,BA,Ipupiara/BA,291410,9935,"32,71%","58,06%","31,56%"
Diogo de Vasconcelos,MG,Diogo de Vasconcelos/MG,312170,3549,"16,96%","58,10%","0,03%"
Madeiro,PI,Madeiro/PI,220585,8032,"58,12%","58,12%","56,88%"
Moita Bonita,SE,Moita Bonita/SE,280410,11050,"28,45%","58,14%",0%
Estrela do Sul,MG,Estrela do Sul/MG,312480,6840,"20,12%","58,22%","21,45%"
Ubatuba,SP,Ubatuba/SP,355540,92981,"23,81%","58,26%","1,33%"
Joinville,SC,Joinville/SC,420910,616317,"0,50%","58,34%",0%
Oeiras,PI,Oeiras/PI,220700,38161,"1,72%","58,41%","19,94%"
Ilha Comprida,SP,Ilha Comprida/SP,352042,13419,"19,04%","58,42%",--
Coronel João Sá,BA,Coronel João Sá/BA,290920,17056,"52,13%","58,45%","58,86%"
Dois Irmãos do Buriti,MS,Dois Irmãos do Buriti/MS,500348,11100,"54,92%","58,50%","54,46%"
Sombrio,SC,Sombrio/SC,421770,29991,"32,32%","58,53%","6,64%"
Quixaba,PE,Quixaba/PE,261153,6554,"30,41%","58,53%","63,24%"
Delfinópolis,MG,Delfinópolis/MG,312120,8393,"55,07%","58,58%","29,48%"
Franciscópolis,MG,Franciscópolis/MG,312675,5034,"58,60%","58,60%","58,60%"
São Pedro do Suaçuí,MG,São Pedro do Suaçuí/MG,316410,5103,"58,63%","58,63%","46,97%"
Nova Andradina,MS,Nova Andradina/MS,500620,48563,"9,42%","58,67%","8,51%"
Lunardelli,PR,Lunardelli/PR,411375,4872,"0,99%","58,70%","17,90%"
Araçaí,MG,Araçaí/MG,310320,2181,"20,86%","58,73%","16,55%"
Palmital,PR,Palmital/PR,411780,13033,"11,03%","58,77%","27,49%"
Pedra Lavrada,PB,Pedra Lavrada/PB,251110,6859,"50,37%","58,89%","58,86%"
Parnaíba,PI,Parnaíba/PI,220770,162159,"2,42%","58,92%","1,33%"
Teresina,PI,Teresina/PI,221100,866300,"5,21%","58,94%","3,38%"
Natividade da Serra,SP,Natividade da Serra/SP,353230,6999,"59,24%","58,99%","0,51%"
Iuiu,BA,Iuiu/BA,291733,11118,"51,52%",59%,--
Coronel Sapucaia,MS,Coronel Sapucaia/MS,500315,14289,"44,23%","59,03%","32,81%"
Jardim,MS,Jardim/MS,500500,23981,0%,"59,05%","4,09%"
Batalha,AL,Batalha/AL,270070,16448,"36,67%","59,06%","4,61%"
Águas Belas,PE,Águas Belas/PE,260050,41548,"48,98%","59,08%","38,95%"
General Carneiro,PR,General Carneiro/PR,410850,11062,"0,02%","59,14%","9,60%"
